Lat,Long,PLAY_GROUND,ADDRESS,OWNERSHIP,RUN_BY
-36.748562,142.551592,Lubeck Recreation Reserve,Lubeck-Wal Wal Road,DELWP,Lubeck Memorial Soldiers Reserve Committee
-36.627742,142.635804,Rupanyup Recreation Reserve,Gibson Street,YSC,Recreation Reserve Committee
-36.625959,142.629512,Rupanyup Memorial Park,Wimmera Highway (Billabong),DELWP,Committee/Group/Club
-36.619284,142.46557,Lake Marma Park- Lions,Lake & Breen Streets,YSC,Shire Council
-36.616572,142.46599,Rabl Park,Lake Street,YSC,Shire Council
-36.61701,142.465727,Murtoa Skate Park,Lake Street,YSC,Shire Council
-36.460516,142.585597,Lions Playground,Mains Street,YSC,Minyip Lions Club
-36.456165,142.586365,Minyip Wetlands,Foundry Street,DELWP,Committee/Group/Club
-36.241264,142.390299,Warrackanbeal Boat Ramp,Boat Ramp,YSC,committee/Group/Club
-36.252656,142.392893,Warracknabeal Skate Park,Anderson Street,YSC,Shire Council
-36.246795,142.393385,Lions Playground,Craig Avenue,DELWP,Warracknabeal Lions Club
-35.731824,142.3634,Hopetoun Recreation Reserve,Strachan Street,YSC,Recreation Reserve Committee
-35.731014,142.365016,Hopetoun Skate Park,Strachan Street,YSC,Skate Park Committee/Rec Reserve Committee
-35.727123,142.36689,L. & J. Poulton Playground,Hope Road,YSC,Shire Council
-35.72579,142.366466,Hopetoun Caravan Park &Tennis Court Play Ground,Austin Street,Council,Tennis Club/Council
-35.608129,142.579819,Lascelles Caravan Park,Sunraysia Highway,YSC,Shire Council
-35.381835,142.19169,Patchewollock Rec Reserve,Kernot Street,DELWP,Progress Association
-36.258316,142.395406,Anzac Park,Scott Street,DELWP,Park Trustee's
-35.941872,142.417025,Beulah Lake Park,Deakin Street,DELWP,Committee/Group/Club
-35.940058,142.421213,Beulah Lions Park,Phillips Street,DELWP,Beulah Lions Club
-36.07296,142.416055,Brim Rec Reserve,Simson Street,DELWP,Recreation Reserve Trustees
-35.767389,142.049419,Yaapeet Rec Reserve,Yaapeet North West Rd,DELWP,Yaapeet Community Centre
-35.681126,142.662818,High way Park Woomelang,Intersection Brook & Gloucester Streets,YSC,Progress Association
-35.684446,142.667515,Woomelang Rec Reserve,Robert Street,DELWP,Recreation Reserve
