lat,lon,name,ref
-37.73994975,142.022546,melville oval playground,18721
-37.7475818,142.0240087,botanic gardens playground,18706
-37.75385163,142.0319314,mitchell park playground,18728
-37.74775833,142.0375359,white ave playground,15366
-37.74130653,142.0355533,skate park playground,18720
-37.74125159,142.0442005,kokoda ave playground,15441
-37.73378715,142.0384396,brumley park playground,18709
-37.7378264,142.0428349,rasmussen ave playground,15367
-37.73769051,142.0294076,bree park playground,18708
-37.73252665,142.0258987,patterson park playground,22669
-37.7255357,142.0288701,pedrina park playground,22668
-37.73516625,142.0166135,victory park playground,18726
-37.74179546,142.0164145,hughan park playground,18717
-37.73043958,142.0073333,coleraine rd playground,18711
-37.73427159,142.0007392,quigley street playground,15364
-37.59709058,141.694187,turnbull street playground,15360
-37.60149021,141.6971324,coleraine vic playground,18713
-37.87257274,142.2908635,penshurst botanic gardens playground,18722
-37.6363689,142.5484944,glenthompson lions park playground,15362
-37.24717093,141.8399898,glendinning street playground,15358
-37.52779537,142.0403303,cavendish playground,18710
-37.59453566,141.6923576,silvester oval playground,29385
-37.73127928,142.0163969,hamilton rec reserve playground,18724
-37.85931998,141.8034252,branxholme rec reserve playground,18707
-37.64080778,142.543999,glenthompson rec reserve playground,18716
-37.64977441,142.3425948,dunkeld memorial parkl playground,18714
-37.76675088,142.0980912,tarrington rec reserve playground,33054
-37.73329987,142.0446242,l.e.a.p. playground,33055
-37.73472702,142.037353,health station 7/8 playground,32880
-37.73131703,142.042135,health station 11/12 playground,32881
-37.73310211,142.0489844,health station 3/4 playground,32879
-37.73823296,142.039665,health station 1/2 playground,32878
-37.73300878,142.045259,lake hamilton - health station 3 way playground,34883
-37.87082739,142.2993556,penshurst rec reserve playground,35276
-36.718084,142.200904,Horsham Aquatic Centre,
