Longitude,Latitude,Name,Ref_ID
145.151046000000008,-36.786951999999999,Blayney Reserve Playground,31L00010/PG
145.149030000000010,-36.786225999999999,Buckley Park Playground,31L00020/PG
145.543081000000001,-36.642493999999999,Moglonemby Hall Playground,26L00005/PG
145.230175000000003,-36.897393000000001,Jubilee Park Playground,2L00015/PG
145.573133000000013,-36.752315000000003,Euroa Kindergarten Playground,11L00080/PG
145.718104000000011,-36.636634999999998,Violet Town Kindergarten Playground,43L00035/PG
145.716663000000011,-36.636071999999999,Violet Town Lions Park Playground,43L00040/PG
145.157387999999997,-36.782038999999997,Nagambie Kindergarten Playground,31L00065/PG
145.426609000000013,-36.804673999999999,Longwood Recreation Reserve Playground,20L00010/PG
145.147919000000002,-36.793433999999998,Nagambie Recreation Reserve Playground,31L00105/PG
145.738983999999988,-36.850099000000000,Strathbogie Recreation Reserve Playground,37L00005/PG
145.721180000000004,-36.635461999999997,Violet Town Recreation Reserve East Playground,43L00050/PG2
145.718727000000001,-36.634512000000001,Violet Town Recreation Reserve West Playground,43L00050/PG1
145.528681000000006,-36.879924000000003,Creightons Creek Recreation Reserve Playground,9L00000/PG
145.149147999999997,-36.778512999999997,River Street Reserve Playground,31L00115/PG
145.572811000000002,-36.751050999999997,Euroa Rotary Playground,11L00165/PG
145.573194999999998,-36.751455000000000,Euroa Skate Park,11L00205/PG
145.237817000000007,-36.901297000000000,Avenel Kindergarten Playground,2L00025/PG
145.568805999999995,-36.756497000000003,Euroa Lions Park Playground,11L00105/PG
145.566095999999987,-36.746803999999997,Euroa Rotary Bicentennial Playground,11L00160/PG
145.722000000000008,-36.635899999999999,Violet Town Recreation Reserve Skate Park,43L00050/PG3
